l,eta,error_type,pth,stderr,cd_type,noise_model
2,1.67,CORR_XZ,0.1444878986130360,0.0021215518339883,SC,code_cap
2,1.67,CORR_ZX,0.1281624299586960,0.0005693427216703,SC,code_cap
2,3.0,CORR_XZ,0.1243585230602450,0.0006530626332885,SC,code_cap
2,3.0,CORR_ZX,0.110784614614569,0.0010073797328502,SC,code_cap
2,4.26,CORR_XZ,0.1165890479449790,0.00095681082164,SC,code_cap
2,4.26,CORR_ZX,0.1070044686532330,0.0013528746306552,SC,code_cap
2,5.89,CORR_XZ,0.1109681487982760,0.0009802300739198,SC,code_cap
2,5.89,CORR_ZX,0.1035591330447930,0.0014915147256446,SC,code_cap
3,1.67,CORR_XZ,0.1753416216761390,0.0005169046786034,SC,code_cap
3,1.67,CORR_ZX,0.1750245756313450,0.000557325570813,SC,code_cap
3,3.0,CORR_XZ,0.1681368951540270,0.0003711736292734,SC,code_cap
3,3.0,CORR_ZX,0.1634475857354550,0.0004032329573634,SC,code_cap
3,4.26,CORR_XZ,0.1585840646191110,0.0005286805694994,SC,code_cap
3,4.26,CORR_ZX,0.1566807197572470,0.000581722746815,SC,code_cap
3,5.89,CORR_XZ,0.1528680254571070,0.0005247426788719,SC,code_cap
3,5.89,CORR_ZX,0.1503578123887820,0.0006195650167333,SC,code_cap
4,1.67,CORR_XZ,0.1780173433525640,0.0006540508103794,SC,code_cap
4,1.67,CORR_ZX,0.179355152056127,0.0008090822739005,SC,code_cap
4,3.0,CORR_XZ,0.1960870761344270,0.0003806650349543,SC,code_cap
4,3.0,CORR_ZX,0.1951466418999690,0.0003382024882637,SC,code_cap
4,4.26,CORR_XZ,0.1914943779479810,0.0007913031327893,SC,code_cap
4,4.26,CORR_ZX,0.1915987166472580,0.0006513818113567,SC,code_cap
4,5.89,CORR_XZ,0.1838665556506950,0.0008121137878051,SC,code_cap
4,5.89,CORR_ZX,0.1834588576261420,0.0006641278432978,SC,code_cap
5,1.67,CORR_XZ,0.1738936825092200,0.0008620801284066,SC,code_cap
5,1.67,CORR_ZX,0.1718205430104140,0.0011510885160919,SC,code_cap
5,3.0,CORR_XZ,0.2047255624006580,0.0003473721372409,SC,code_cap
5,3.0,CORR_ZX,0.2055437847735320,0.0003539194614186,SC,code_cap
5,4.26,CORR_XZ,0.2107731231805400,0.0008409009705879,SC,code_cap
5,4.26,CORR_ZX,0.2113718356438700,0.0006863692763882,SC,code_cap
5,5.89,CORR_XZ,0.2059450513142880,0.0010178378062457,SC,code_cap
5,5.89,CORR_ZX,0.2067073772191390,0.0008902327345138,SC,code_cap
6,1.67,CORR_XZ,0.1583280109055490,0.0015037871736425,SC,code_cap
6,1.67,CORR_ZX,0.1402626932672970,0.002899462203735,SC,code_cap
6,3.0,CORR_XZ,0.2081068456932450,0.0003732885532702,SC,code_cap
6,3.0,CORR_ZX,0.210215240626329,0.0003929708061363,SC,code_cap
6,4.26,CORR_XZ,0.2228496315449910,0.0008214091953628,SC,code_cap
6,4.26,CORR_ZX,0.2247819687735280,0.0006943761560706,SC,code_cap
6,5.89,CORR_XZ,0.2265652730506630,0.0014271276561013,SC,code_cap
6,5.89,CORR_ZX,0.2285367796336010,0.0012774988325677,SC,code_cap
2,1.5,CORR_XZ,0.1518023274626430,0.0008443922553111,SC,code_cap
2,1.5,CORR_ZX,0.1274239694210760,0.0015080929063697,SC,code_cap
2,2.5,CORR_XZ,0.1296010084919170,0.0011033114285183,SC,code_cap
2,2.5,CORR_ZX,0.1142040898103470,0.0017851181445059,SC,code_cap
2,3.5,CORR_XZ,0.1203848213181820,0.0012810765610016,SC,code_cap
2,3.5,CORR_ZX,0.108471441572767,0.0018520225959003,SC,code_cap
2,4.5,CORR_XZ,0.1151740138544620,0.0013473624732311,SC,code_cap
2,4.5,CORR_ZX,0.1060928054200350,0.0018391978067407,SC,code_cap
2,6.0,CORR_XZ,0.1104453306922550,0.0013971439398325,SC,code_cap
2,6.0,CORR_ZX,0.1033736803238130,0.001943951400998,SC,code_cap
2,7.0,CORR_XZ,0.1082116199828540,0.0014404938897058,SC,code_cap
2,7.0,CORR_ZX,0.1024374516472110,0.0019275878767616,SC,code_cap
3,1.5,CORR_XZ,0.173104661708963,0.0006678823608939,SC,code_cap
3,1.5,CORR_ZX,0.1728459840532620,0.0008932848544645,SC,code_cap
3,2.5,CORR_XZ,0.1736557534037140,0.0005674101882471,SC,code_cap
3,2.5,CORR_ZX,0.1691376375384980,0.0006273522698714,SC,code_cap
3,3.5,CORR_XZ,0.1633882550386760,0.0005736343928683,SC,code_cap
3,3.5,CORR_ZX,0.1590232753395330,0.0006792561696246,SC,code_cap
3,4.5,CORR_XZ,0.1575076278013640,0.0005876291035952,SC,code_cap
3,4.5,CORR_ZX,0.15556257346032,0.0006190038460269,SC,code_cap
3,6.0,CORR_XZ,0.1525178267185200,0.0005905261460603,SC,code_cap
3,6.0,CORR_ZX,0.1501282589781530,0.0007299211592976,SC,code_cap
3,7.0,CORR_XZ,0.1504461418717010,0.0005924422339552,SC,code_cap
3,7.0,CORR_ZX,0.1486348433467300,0.000695188515357,SC,code_cap
4,1.5,CORR_XZ,0.1725455909744600,0.000883450460077,SC,code_cap
4,1.5,CORR_ZX,0.1736464761631140,0.0011053673739471,SC,code_cap
4,2.5,CORR_XZ,0.1932171517364280,0.0004683222976767,SC,code_cap
4,2.5,CORR_ZX,0.1929054625845490,0.0005570186093252,SC,code_cap
4,3.5,CORR_XZ,0.1953103883241540,0.0007265872573584,SC,code_cap
4,3.5,CORR_ZX,0.1937355369499740,0.0005970877254537,SC,code_cap
4,4.5,CORR_XZ,0.1900294317876930,0.0008770172879196,SC,code_cap
4,4.5,CORR_ZX,0.1900836619537190,0.0007007084379581,SC,code_cap
4,6.0,CORR_XZ,0.1834693033315150,0.0008530893847333,SC,code_cap
4,6.0,CORR_ZX,0.183119645699039,0.0007314400458155,SC,code_cap
4,7.0,CORR_XZ,0.1807144562372430,0.0007955174552961,SC,code_cap
4,7.0,CORR_ZX,0.1803104022887010,0.0006561453263095,SC,code_cap
5,1.5,CORR_XZ,0.1647107448950420,0.0012898738386502,SC,code_cap
5,1.5,CORR_ZX,0.1585511774069050,0.0018551552791797,SC,code_cap
5,2.5,CORR_XZ,0.1972098331469930,0.0005704704155424,SC,code_cap
5,2.5,CORR_ZX,0.1981663025870800,0.0006659486455043,SC,code_cap
5,3.5,CORR_XZ,0.2090617921462750,0.0006255403430947,SC,code_cap
5,3.5,CORR_ZX,0.2094659884305180,0.0005227337623567,SC,code_cap
5,4.5,CORR_XZ,0.2106076704880540,0.0009838872177588,SC,code_cap
5,4.5,CORR_ZX,0.2108464670428270,0.0007528785534329,SC,code_cap
5,6.0,CORR_XZ,0.2054393127433430,0.00111361236917,SC,code_cap
5,6.0,CORR_ZX,0.2061601752385360,0.0009216657515051,SC,code_cap
5,7.0,CORR_XZ,0.2023812500573590,0.0010792788820667,SC,code_cap
5,7.0,CORR_ZX,0.2029467091483090,0.0009418133702375,SC,code_cap
6,1.5,CORR_XZ,0.1341316725118450,0.0034387151088154,SC,code_cap
6,1.5,CORR_ZX,0.1124722500317250,0.0087511713313823,SC,code_cap
6,2.5,CORR_XZ,0.1975173239432200,0.0007388111894875,SC,code_cap
6,2.5,CORR_ZX,0.1988198875629740,0.0009234041843519,SC,code_cap
6,3.5,CORR_XZ,0.2157420563691010,0.0005942209558929,SC,code_cap
6,3.5,CORR_ZX,0.2174798189665390,0.0005854706647166,SC,code_cap
6,4.5,CORR_XZ,0.2245212983092870,0.0010521534266782,SC,code_cap
6,4.5,CORR_ZX,0.2262017104527350,0.0009223363870099,SC,code_cap
6,6.0,CORR_XZ,0.2263454517522920,0.0016299311552647,SC,code_cap
6,6.0,CORR_ZX,0.2282793826993030,0.0014775665857428,SC,code_cap
6,7.0,CORR_XZ,0.2246033912399600,0.0017466997172831,SC,code_cap
6,7.0,CORR_ZX,0.2258090516994930,0.0016557717769362,SC,code_cap
2,0.75,CORR_XZ,0.1616194276697320,0.0014858955458757,SC,code_cap
2,0.75,CORR_ZX,0.1531689447911260,0.0009965066079708,SC,code_cap
2,2.0,CORR_XZ,0.1377241713840980,0.0008247093529758,SC,code_cap
2,2.0,CORR_ZX,0.1183959560133580,0.0013852662549702,SC,code_cap
2,3.0,CORR_XZ,0.1243585230602450,0.0006530626332885,SC,code_cap
2,3.0,CORR_ZX,0.1106731022812090,0.0010513333316334,SC,code_cap
2,4.0,CORR_XZ,0.1173757443531590,0.0010597913667365,SC,code_cap
2,4.0,CORR_ZX,0.1074855875486710,0.0015237048798139,SC,code_cap
3,0.75,CORR_XZ,0.146213806514021,0.0010002905916412,SC,code_cap
3,0.75,CORR_ZX,0.1730925555037940,0.000778204838509,SC,code_cap
3,2.0,CORR_XZ,0.1768733417250100,0.0004703112513798,SC,code_cap
3,2.0,CORR_ZX,0.1740932676477100,0.0005707722858563,SC,code_cap
3,3.0,CORR_XZ,0.1679912643220230,0.0003652237145272,SC,code_cap
3,3.0,CORR_ZX,0.1635274400434940,0.0003951875757532,SC,code_cap
3,4.0,CORR_XZ,0.159866073238527,0.0005166542350109,SC,code_cap
3,4.0,CORR_ZX,0.1583749399711500,0.0005436857190416,SC,code_cap
4,0.75,CORR_XZ,0.1107414122817300,0.0022751751805808,SC,code_cap
