d,num_shots,p,l,eta,error_type,num_log_errors,time_stamp
11.0,10000.0,0.01,3.0,1.0,x,0.0,2024-12-03 18:46:53.016705
11.0,10000.0,0.01,3.0,1.0,z,0.0,2024-12-03 18:46:53.019488
11.0,10000.0,0.01,3.0,1.0,corr_z,0.0,2024-12-03 18:46:53.020668
11.0,10000.0,0.01,3.0,1.0,total,0.0,2024-12-03 18:46:53.021724
11.0,10000.0,0.022564102564102566,3.0,1.0,x,0.0,2024-12-03 18:46:56.214284
11.0,10000.0,0.022564102564102566,3.0,1.0,z,0.0,2024-12-03 18:46:56.215675
11.0,10000.0,0.022564102564102566,3.0,1.0,corr_z,0.0,2024-12-03 18:46:56.216669
11.0,10000.0,0.022564102564102566,3.0,1.0,total,0.0,2024-12-03 18:46:56.217623
11.0,10000.0,0.03512820512820513,3.0,1.0,x,0.0001,2024-12-03 18:46:59.737655
11.0,10000.0,0.03512820512820513,3.0,1.0,z,0.0,2024-12-03 18:46:59.739287
11.0,10000.0,0.03512820512820513,3.0,1.0,corr_z,0.0002,2024-12-03 18:46:59.740494
11.0,10000.0,0.03512820512820513,3.0,1.0,total,0.0001,2024-12-03 18:46:59.741655
11.0,10000.0,0.047692307692307694,3.0,1.0,x,0.0005,2024-12-03 18:47:03.483576
11.0,10000.0,0.047692307692307694,3.0,1.0,z,0.0002,2024-12-03 18:47:03.485166
11.0,10000.0,0.047692307692307694,3.0,1.0,corr_z,0.0001,2024-12-03 18:47:03.486303
11.0,10000.0,0.047692307692307694,3.0,1.0,total,0.0007,2024-12-03 18:47:03.487438
11.0,10000.0,0.06025641025641026,3.0,1.0,x,0.0017,2024-12-03 18:47:07.274883
11.0,10000.0,0.06025641025641026,3.0,1.0,z,0.0013,2024-12-03 18:47:07.276489
11.0,10000.0,0.06025641025641026,3.0,1.0,corr_z,0.001,2024-12-03 18:47:07.277649
11.0,10000.0,0.06025641025641026,3.0,1.0,total,0.003,2024-12-03 18:47:07.278825
11.0,10000.0,0.07282051282051281,3.0,1.0,x,0.0037,2024-12-03 18:47:11.088816
11.0,10000.0,0.07282051282051281,3.0,1.0,z,0.0032,2024-12-03 18:47:11.090374
11.0,10000.0,0.07282051282051281,3.0,1.0,corr_z,0.0028,2024-12-03 18:47:11.091535
11.0,10000.0,0.07282051282051281,3.0,1.0,total,0.0069,2024-12-03 18:47:11.092653
11.0,10000.0,0.08538461538461538,3.0,1.0,x,0.0103,2024-12-03 18:47:14.937769
11.0,10000.0,0.08538461538461538,3.0,1.0,z,0.0077,2024-12-03 18:47:14.939315
11.0,10000.0,0.08538461538461538,3.0,1.0,corr_z,0.0066,2024-12-03 18:47:14.940410
11.0,10000.0,0.08538461538461538,3.0,1.0,total,0.018,2024-12-03 18:47:14.941604
11.0,10000.0,0.09794871794871794,3.0,1.0,x,0.0215,2024-12-03 18:47:18.819559
11.0,10000.0,0.09794871794871794,3.0,1.0,z,0.0141,2024-12-03 18:47:18.821216
11.0,10000.0,0.09794871794871794,3.0,1.0,corr_z,0.0115,2024-12-03 18:47:18.822421
11.0,10000.0,0.09794871794871794,3.0,1.0,total,0.0356,2024-12-03 18:47:18.823591
11.0,10000.0,0.1105128205128205,3.0,1.0,x,0.0297,2024-12-03 18:47:22.743048
11.0,10000.0,0.1105128205128205,3.0,1.0,z,0.0248,2024-12-03 18:47:22.744656
11.0,10000.0,0.1105128205128205,3.0,1.0,corr_z,0.0205,2024-12-03 18:47:22.745853
11.0,10000.0,0.1105128205128205,3.0,1.0,total,0.0545,2024-12-03 18:47:22.747048
11.0,10000.0,0.12307692307692307,3.0,1.0,x,0.047,2024-12-03 18:47:26.698427
11.0,10000.0,0.12307692307692307,3.0,1.0,z,0.0455,2024-12-03 18:47:26.700117
11.0,10000.0,0.12307692307692307,3.0,1.0,corr_z,0.0338,2024-12-03 18:47:26.701246
11.0,10000.0,0.12307692307692307,3.0,1.0,total,0.0925,2024-12-03 18:47:26.702431
11.0,10000.0,0.13564102564102565,3.0,1.0,x,0.0671,2024-12-03 18:47:30.703372
11.0,10000.0,0.13564102564102565,3.0,1.0,z,0.0618,2024-12-03 18:47:30.704995
11.0,10000.0,0.13564102564102565,3.0,1.0,corr_z,0.0527,2024-12-03 18:47:30.706205
11.0,10000.0,0.13564102564102565,3.0,1.0,total,0.1289,2024-12-03 18:47:30.707391
11.0,10000.0,0.1482051282051282,3.0,1.0,x,0.0904,2024-12-03 18:47:34.736449
11.0,10000.0,0.1482051282051282,3.0,1.0,z,0.0909,2024-12-03 18:47:34.738081
11.0,10000.0,0.1482051282051282,3.0,1.0,corr_z,0.0737,2024-12-03 18:47:34.739289
11.0,10000.0,0.1482051282051282,3.0,1.0,total,0.1813,2024-12-03 18:47:34.740480
11.0,10000.0,0.16076923076923078,3.0,1.0,x,0.1166,2024-12-03 18:47:38.792652
11.0,10000.0,0.16076923076923078,3.0,1.0,z,0.1222,2024-12-03 18:47:38.794205
11.0,10000.0,0.16076923076923078,3.0,1.0,corr_z,0.1001,2024-12-03 18:47:38.795321
11.0,10000.0,0.16076923076923078,3.0,1.0,total,0.2388,2024-12-03 18:47:38.796483
11.0,10000.0,0.17333333333333334,3.0,1.0,x,0.1504,2024-12-03 18:47:42.905676
11.0,10000.0,0.17333333333333334,3.0,1.0,z,0.1654,2024-12-03 18:47:42.907304
11.0,10000.0,0.17333333333333334,3.0,1.0,corr_z,0.1257,2024-12-03 18:47:42.908513
11.0,10000.0,0.17333333333333334,3.0,1.0,total,0.3158,2024-12-03 18:47:42.909687
11.0,10000.0,0.1858974358974359,3.0,1.0,x,0.1703,2024-12-03 18:47:47.064276
11.0,10000.0,0.1858974358974359,3.0,1.0,z,0.2029,2024-12-03 18:47:47.065874
11.0,10000.0,0.1858974358974359,3.0,1.0,corr_z,0.1596,2024-12-03 18:47:47.067094
