d,p,l,eta,CD_type,shots,memory,ler_x,ler_z,ler_total

7,0.0031622776601683794,4,500,ZXXZonSqu,1000000,True,0.003508,2.2e-05,0.00353
7,0.004084238652674522,4,500,ZXXZonSqu,1000000,True,0.009137,7.9e-05,0.009214
7,0.00527499706370262,4,500,ZXXZonSqu,1000000,True,0.023875,0.000189,0.024054
7,0.006812920690579615,4,500,ZXXZonSqu,1000000,True,0.057005,0.000505,0.057455
7,0.008799225435691074,4,500,ZXXZonSqu,1000000,True,0.125047,0.001303,0.126136
7,0.011364636663857248,4,500,ZXXZonSqu,1000000,True,0.238808,0.003297,0.241162
7,0.01467799267622069,4,500,ZXXZonSqu,1000000,True,0.372587,0.007149,0.376807
7,0.018957356524063752,4,500,ZXXZonSqu,1000000,True,0.467971,0.013961,0.475286
7,0.024484367468222266,4,500,ZXXZonSqu,1000000,True,0.497964,0.023619,0.509832
7,0.03162277660168379,4,500,ZXXZonSqu,1000000,True,0.500701,0.035994,0.518515
9,0.0031622776601683794,4,500,ZXXZonSqu,1000000,True,0.001268,1e-06,0.001269
9,0.004084238652674522,4,500,ZXXZonSqu,1000000,True,0.004621,5e-06,0.004626
9,0.00527499706370262,4,500,ZXXZonSqu,1000000,True,0.015149,2.5e-05,0.015174
9,0.006812920690579615,4,500,ZXXZonSqu,1000000,True,0.045628,0.000105,0.045723
9,0.008799225435691074,4,500,ZXXZonSqu,1000000,True,0.123487,0.000341,0.123765
9,0.011364636663857248,4,500,ZXXZonSqu,1000000,True,0.265226,0.000956,0.265896
9,0.01467799267622069,4,500,ZXXZonSqu,1000000,True,0.419307,0.002472,0.420713
9,0.018957356524063752,4,500,ZXXZonSqu,1000000,True,0.490843,0.005106,0.493417
9,0.024484367468222266,4,500,ZXXZonSqu,1000000,True,0.500377,0.009325,0.505098
9,0.03162277660168379,4,500,ZXXZonSqu,1000000,True,0.50031,0.015797,0.508331
11,0.0031622776601683794,4,500,ZXXZonSqu,1000000,True,0.000496,0.0,0.000496
11,0.004084238652674522,4,500,ZXXZonSqu,1000000,True,0.00216,3e-06,0.002163
11,0.00527499706370262,4,500,ZXXZonSqu,1000000,True,0.009327,1.6e-05,0.009343
11,0.006812920690579615,4,500,ZXXZonSqu,1000000,True,0.036186,8.8e-05,0.036269
11,0.008799225435691074,4,500,ZXXZonSqu,1000000,True,0.116645,0.000426,0.117008
11,0.011364636663857248,4,500,ZXXZonSqu,1000000,True,0.284817,0.00153,0.285886
11,0.01467799267622069,4,500,ZXXZonSqu,1000000,True,0.449634,0.004488,0.452056
11,0.018957356524063752,4,500,ZXXZonSqu,1000000,True,0.496988,0.010422,0.502238
11,0.024484367468222266,4,500,ZXXZonSqu,1000000,True,0.499938,0.018962,0.509432
11,0.03162277660168379,4,500,ZXXZonSqu,1000000,True,0.499423,0.031592,0.515213
7,0.0031622776601683794,4,500,SC,1000000,True,0.021918,0.0,0.021918
7,0.004084238652674522,4,500,SC,1000000,True,0.051866,0.0,0.051866
7,0.00527499706370262,4,500,SC,1000000,True,0.113972,0.0,0.113972
7,0.006812920690579615,4,500,SC,1000000,True,0.219052,1e-06,0.219052
7,0.008799225435691074,4,500,SC,1000000,True,0.348033,6e-06,0.348036
7,0.011364636663857248,4,500,SC,1000000,True,0.450682,1.4e-05,0.450686
7,0.01467799267622069,4,500,SC,1000000,True,0.492761,2.1e-05,0.49277
7,0.018957356524063752,4,500,SC,1000000,True,0.499019,0.0001,0.499071
7,0.024484367468222266,4,500,SC,1000000,True,0.499845,0.0002,0.499956
7,0.03162277660168379,4,500,SC,1000000,True,0.500013,0.000438,0.500215
9,0.0031622776601683794,4,500,SC,1000000,True,0.015734,0.0,0.015734
9,0.004084238652674522,4,500,SC,1000000,True,0.047165,0.0,0.047165
9,0.00527499706370262,4,500,SC,1000000,True,0.124535,0.0,0.124535
9,0.006812920690579615,4,500,SC,1000000,True,0.261558,0.0,0.261558
9,0.008799225435691074,4,500,SC,1000000,True,0.411365,0.0,0.411365
9,0.011364636663857248,4,500,SC,1000000,True,0.485788,3e-06,0.485789
9,0.01467799267622069,4,500,SC,1000000,True,0.49918,1.1e-05,0.499185
9,0.018957356524063752,4,500,SC,1000000,True,0.500225,2.6e-05,0.500238
9,0.024484367468222266,4,500,SC,1000000,True,0.500055,7.3e-05,0.500092
9,0.03162277660168379,4,500,SC,1000000,True,0.500419,0.000213,0.500523
11,0.0031622776601683794,4,500,SC,1000000,True,0.011124,0.0,0.011124
11,0.004084238652674522,4,500,SC,1000000,True,0.042368,0.0,0.042368
11,0.00527499706370262,4,500,SC,1000000,True,0.133063,0.0,0.133063
11,0.006812920690579615,4,500,SC,1000000,True,0.30408,0.0,0.30408
11,0.008799225435691074,4,500,SC,1000000,True,0.455781,0.0,0.455781
11,0.011364636663857248,4,500,SC,1000000,True,0.497688,0.0,0.497688
11,0.01467799267622069,4,500,SC,1000000,True,0.499281,0.0,0.499281
11,0.018957356524063752,4,500,SC,1000000,True,0.500443,1.1e-05,0.50045
11,0.024484367468222266,4,500,SC,1000000,True,0.500922,3.3e-05,0.500935
11,0.03162277660168379,4,500,SC,1000000,True,0.499649,0.000153,0.49972
