l,eta,error_type,pth,stderr,cd_type
3,0.5,TOTAL, 0.0434,0,SC
3,0.5,TOTAL, 0.0420,0,XZZXonSqu
3,0.5,TOTAL, 0.0422,0,ZXXZonSqu
3,1,TOTAL, 0.0539,0,SC
3,1,TOTAL, 0.0434,0,XZZXonSqu
3,1,TOTAL, 0.0457,0,ZXXZonSqu
3,5,TOTAL, 0.0544,0,SC
3,5,TOTAL, 0.0490,0,XZZXonSqu
3,5,TOTAL, 0.0650,0,ZXXZonSqu
3,10,TOTAL, 0.0521,0,SC
3,10,TOTAL, 0.0549,0,XZZXonSqu
3,10,TOTAL, 0.0758,0,ZXXZonSqu
3,25,TOTAL, 0.0510,0,SC
3,25,TOTAL, 0.0608,0,XZZXonSqu
3,25,TOTAL, 0.0888,0,ZXXZonSqu
3,50,TOTAL, 0.0506,0,SC
3,50,TOTAL, 0.0665,0,XZZXonSqu
3,50,TOTAL, 0.0953,0,ZXXZonSqu
3,100,TOTAL, 0.0501,0,SC
3,100,TOTAL, 0.0720,0,XZZXonSqu
3,100,TOTAL, 0.1022,0,ZXXZonSqu
4,0.5,TOTAL, 0.0348,0,SC
4,0.5,TOTAL, 0.0340,0,XZZXonSqu
4,0.5,TOTAL, 0.0345,0,ZXXZonSqu
4,1,TOTAL, 0.0457,0,SC
4,1,TOTAL, 0.0384,0,XZZXonSqu
4,1,TOTAL, 0.0389,0,ZXXZonSqu
4,5,TOTAL, 0.0615,0,SC
4,5,TOTAL, 0.0493,0,XZZXonSqu
4,5,TOTAL, 0.0598,0,ZXXZonSqu
4,10,TOTAL, 0.0598,0,SC
4,10,TOTAL, 0.0548,0,XZZXonSqu
4,10,TOTAL, 0.0771,0,ZXXZonSqu
4,25,TOTAL, 0.0585,0,SC
4,25,TOTAL, 0.0626,0,XZZXonSqu
4,25,TOTAL, 0.0930,0,ZXXZonSqu
4,50,TOTAL, 0.0584,0,SC
4,50,TOTAL, 0.0664,0,XZZXonSqu
4,50,TOTAL, 0.0990,0,ZXXZonSqu
4,100,TOTAL, 0.0575,0,SC
4,100,TOTAL, 0.0706,0,XZZXonSqu
4,100,TOTAL, 0.1044,0,ZXXZonSqu
6,0.5,TOTAL, 0.0283,0,SC
6,0.5,TOTAL, 0.0280,0,XZZXonSqu
6,0.5,TOTAL, 0.0280,0,ZXXZonSqu
6,1,TOTAL, 0.0348,0,SC
6,1,TOTAL, 0.0333,0,XZZXonSqu
6,1,TOTAL, 0.0326,0,ZXXZonSqu
6,5,TOTAL, 0.0678,0,SC
6,5,TOTAL, 0.0465,0,XZZXonSqu
6,5,TOTAL, 0.0545,0,ZXXZonSqu
6,10,TOTAL, 0.0669,0,SC
6,10,TOTAL, 0.0544,0,XZZXonSqu
6,10,TOTAL, 0.0751,0,ZXXZonSqu
6,25,TOTAL, 0.0669,0,SC
6,25,TOTAL, 0.0604,0,XZZXonSqu
6,25,TOTAL, 0.0939,0,ZXXZonSqu
6,50,TOTAL, 0.0656,0,SC
6,50,TOTAL, 0.0622,0,XZZXonSqu
6,50,TOTAL, 0.0994,0,ZXXZonSqu
6,100,TOTAL, 0.0661,0,SC
6,100,TOTAL, 0.0622,0,XZZXonSqu
6,100,TOTAL, 0.1033,0,ZXXZonSqu
