l,d,CD_type,mem_type,num_shots,eta,p,ler_pycorr,ler_my_corr
3,11,ZXXZonSqu,X,10000,0.5,0.0031622776601683794,0.0001,0.0
3,11,ZXXZonSqu,X,10000,0.5,0.0038018939632056127,0.0002,0.0001
3,11,ZXXZonSqu,X,10000,0.5,0.004570881896148752,0.0002,0.0004
3,11,ZXXZonSqu,X,10000,0.5,0.005495408738576243,0.0021,0.0017
3,11,ZXXZonSqu,X,10000,0.5,0.006606934480075957,0.0062,0.0073
3,11,ZXXZonSqu,X,10000,0.5,0.007943282347242814,0.0191,0.0226
3,11,ZXXZonSqu,X,10000,50.0,0.0031622776601683794,0.0,0.0
3,11,ZXXZonSqu,X,10000,50.0,0.0038018939632056127,0.0,0.0
3,11,ZXXZonSqu,X,10000,50.0,0.004570881896148752,0.0001,0.0002
3,11,ZXXZonSqu,X,10000,50.0,0.005495408738576243,0.0005,0.0002
3,11,ZXXZonSqu,X,10000,50.0,0.006606934480075957,0.0012,0.0015
3,11,ZXXZonSqu,X,10000,50.0,0.007943282347242814,0.0039,0.0036
4,9,ZXXZonSqu,X,100000,0.5,0.0031622776601683794,0.00021,0.00022
4,9,ZXXZonSqu,X,100000,0.5,0.005011872336272725,0.00202,0.00189
4,9,ZXXZonSqu,X,100000,0.5,0.007943282347242814,0.02012,0.0208
4,9,ZXXZonSqu,X,100000,50.0,0.0031622776601683794,4e-05,6e-05
4,9,ZXXZonSqu,X,100000,50.0,0.005011872336272725,0.0004,0.00051
4,9,ZXXZonSqu,X,100000,50.0,0.007943282347242814,0.00579,0.00546
4,9,ZXXZonSqu,X,100000,5,0.0031622776601683794,0.0001,5e-05
4,9,ZXXZonSqu,X,100000,5,0.005011872336272725,0.00093,0.0008
4,9,ZXXZonSqu,X,100000,5,0.007943282347242814,0.00827,0.00931
