l,eta,error_type,CD_type,noise_model,pth,stderr
2,0.5,X_MEM,SC,circuit_level,0.007193262918278,2.618661511173633e-06
2,0.5,Z_MEM,SC,circuit_level,0.0073921206503875,2.5956908566826152e-06
2,0.5,TOTAL_MEM,SC,circuit_level,0.0072778855337633,1.856412010480538e-06
4,0.5,X_MEM,SC,circuit_level,0.0092839566173261,9.464744872464135e-06
4,0.5,Z_MEM,SC,circuit_level,0.0046526769161074,3.220047288651957e-06
4,0.5,TOTAL_MEM,SC,circuit_level,0.0047366359569984,3.160379755197036e-06
6,0.5,X_MEM,SC,circuit_level,0.0102271957050384,1.1552898168001386e-05
6,0.5,Z_MEM,SC,circuit_level,0.0035703538188176,4.407993196446817e-06
6,0.5,TOTAL_MEM,SC,circuit_level,0.0035614029363655,4.392830131238895e-06
2,5.0,X_MEM,SC,circuit_level,0.0073530319937313,2.4401543727490444e-06
2,5.0,Z_MEM,SC,circuit_level,0.0104666876991478,1.3079399922898034e-05
2,5.0,TOTAL_MEM,SC,circuit_level,0.0074503636959125,2.366065737397444e-06
4,5.0,X_MEM,SC,circuit_level,0.0105906951525044,1.0290572105152e-05
4,5.0,Z_MEM,SC,circuit_level,0.0064909048036913,5.836996966205232e-06
4,5.0,TOTAL_MEM,SC,circuit_level,0.0072404078769143,3.852429125534994e-06
6,5.0,X_MEM,SC,circuit_level,0.0121264489771258,1.2492142424438122e-05
6,5.0,Z_MEM,SC,circuit_level,0.0049431653887238,5.099624812024368e-06
6,5.0,TOTAL_MEM,SC,circuit_level,0.0050944458813032,4.534390662889848e-06
2,10.0,X_MEM,SC,circuit_level,0.007401612323615,2.400160258294519e-06
2,10.0,Z_MEM,SC,circuit_level,0.0112611216950834,1.504742662086877e-05
2,10.0,TOTAL_MEM,SC,circuit_level,0.0074571667065553,2.3830739961226065e-06
4,10.0,X_MEM,SC,circuit_level,0.010990514188438,1.0460419652350884e-05
4,10.0,Z_MEM,SC,circuit_level,0.0069498738170069,8.993723778972948e-06
4,10.0,TOTAL_MEM,SC,circuit_level,0.0079806600793995,3.972478310904805e-06
6,10.0,X_MEM,SC,circuit_level,0.0127659140417921,0.000115905590361
6,10.0,Z_MEM,SC,circuit_level,0.0052975639643507,5.874472456690499e-06
6,10.0,TOTAL_MEM,SC,circuit_level,0.0055493785155556,4.906519346967263e-06
2,25.0,X_MEM,SC,circuit_level,0.0074437563131946,2.4180651433950063e-06
2,25.0,Z_MEM,SC,circuit_level,0.0117444944508025,3.3693529228808e-05
2,25.0,TOTAL_MEM,SC,circuit_level,0.0074759706270028,2.4118832399662647e-06
4,25.0,X_MEM,SC,circuit_level,0.0113354743471047,1.1411465033376918e-05
4,25.0,Z_MEM,SC,circuit_level,0.0073188055518067,1.3621639408925816e-05
4,25.0,TOTAL_MEM,SC,circuit_level,0.008572660042457,4.235529112336681e-06
6,25.0,X_MEM,SC,circuit_level,0.0132480226186936,1.1242404387510936e-05
6,25.0,Z_MEM,SC,circuit_level,0.0056064547177137,6.378500763884986e-06
6,25.0,TOTAL_MEM,SC,circuit_level,0.0059411108411012,5.122347875437238e-06
