l,eta,error_type,CD_type,noise_model,pth,stderr
2,0.5,X_MEM,SC,circuit_level,0.0076613509488298,7.810285482258906e-06
2,0.5,Z_MEM,SC,circuit_level,0.008442691562597,7.21989148269967e-06
2,0.5,TOTAL_MEM,SC,circuit_level,0.0079138713212972,5.861549758454614e-06
3,0.5,X_MEM,SC,circuit_level,0.0090127321241216,2.5606642876448133e-05
3,0.5,Z_MEM,SC,circuit_level,0.0063629970019252,1.2919714204141877e-05
3,0.5,TOTAL_MEM,SC,circuit_level,0.0067601210882297,1.2386320346987398e-05
4,0.5,X_MEM,SC,circuit_level,0.0100326996791005,1.5129337257422898e-05
4,0.5,Z_MEM,SC,circuit_level,0.0051977190001862,1.8257622640734085e-05
4,0.5,TOTAL_MEM,SC,circuit_level,0.0053307376150866,1.8100669832869085e-05
5,0.5,X_MEM,SC,circuit_level,0.0106121952139448,3.638791706814699e-05
5,0.5,Z_MEM,SC,circuit_level,0.0044400866677444,3.1062879259345896e-05
5,0.5,TOTAL_MEM,SC,circuit_level,0.0044944568172512,2.8145653346221992e-05
6,0.5,X_MEM,SC,circuit_level,0.0111073708796247,2.2713534079251965e-05
6,0.5,Z_MEM,SC,circuit_level,0.0038728255605162,4.490405836654713e-05
6,0.5,TOTAL_MEM,SC,circuit_level,0.003961472581537,3.8067209002987694e-05
2,10.0,X_MEM,SC,circuit_level,0.0073848749824973,7.954098508477546e-06
2,10.0,Z_MEM,SC,circuit_level,0.00289,inf
2,10.0,TOTAL_MEM,SC,circuit_level,0.0073844815581083,7.778145433518356e-06
3,10.0,X_MEM,SC,circuit_level,0.0097537132995298,8.83042426893861e-06
3,10.0,Z_MEM,SC,circuit_level,0.00213,inf
3,10.0,TOTAL_MEM,SC,circuit_level,0.0097559470549721,9.169427425301438e-06
4,10.0,X_MEM,SC,circuit_level,0.01126555975216,7.014778064978466e-06
4,10.0,Z_MEM,SC,circuit_level,0.0171265838746685,4.760854761051895e-05
4,10.0,TOTAL_MEM,SC,circuit_level,0.0112762771786191,6.679398878521054e-06
5,10.0,X_MEM,SC,circuit_level,0.0123178026479177,8.760434337802612e-06
5,10.0,Z_MEM,SC,circuit_level,0.014530925011216,5.3090307411852994e-05
5,10.0,TOTAL_MEM,SC,circuit_level,0.0123387665572594,8.710809864170315e-06
6,10.0,X_MEM,SC,circuit_level,0.0131960464164119,7.114950068621349e-06
6,10.0,Z_MEM,SC,circuit_level,0.0125883916519265,3.111722338452538e-05
6,10.0,TOTAL_MEM,SC,circuit_level,0.0131752373253671,6.641876005818734e-06
2,50.0,X_MEM,SC,circuit_level,0.0073858028850144,7.844203696949285e-06
2,50.0,Z_MEM,SC,circuit_level,0.00736,inf
2,50.0,TOTAL_MEM,SC,circuit_level,0.0073870223933453,7.913878742988689e-06
3,50.0,X_MEM,SC,circuit_level,0.010002886042534,8.836640349236316e-06
3,50.0,Z_MEM,SC,circuit_level,0.00466,inf
3,50.0,TOTAL_MEM,SC,circuit_level,0.0100028875958543,8.836528438559183e-06
4,50.0,X_MEM,SC,circuit_level,0.0117016876981973,7.060685119696516e-06
4,50.0,Z_MEM,SC,circuit_level,0.00354,inf
4,50.0,TOTAL_MEM,SC,circuit_level,0.0117021789655034,7.307654776504734e-06
5,50.0,X_MEM,SC,circuit_level,0.0129393857497871,9.344227428677117e-06
5,50.0,TOTAL_MEM,SC,circuit_level,0.0129394137321115,9.342559542064934e-06
6,50.0,X_MEM,SC,circuit_level,0.0139965105229718,6.944667183107379e-06
6,50.0,Z_MEM,SC,circuit_level,0.00466,inf
6,50.0,TOTAL_MEM,SC,circuit_level,0.013994932231579,7.356693961977093e-06
2,100.0,X_MEM,SC,circuit_level,0.0074032213582871,3.6234741773316665e-05
2,100.0,Z_MEM,SC,circuit_level,0.00736,inf
2,100.0,TOTAL_MEM,SC,circuit_level,0.0074088671598168,3.660748008240728e-05
3,100.0,X_MEM,SC,circuit_level,0.0100352003990114,8.670063281333908e-06
3,100.0,Z_MEM,SC,circuit_level,0.00466,inf
3,100.0,TOTAL_MEM,SC,circuit_level,0.0100352003990114,8.670063281333908e-06
4,100.0,X_MEM,SC,circuit_level,0.011789569795192,6.91517623088066e-06
4,100.0,Z_MEM,SC,circuit_level,0.00354,inf
4,100.0,TOTAL_MEM,SC,circuit_level,0.0117905597018571,7.138909457337865e-06
5,100.0,X_MEM,SC,circuit_level,0.0130743882604023,9.57636707169149e-06
5,100.0,Z_MEM,SC,circuit_level,0.00736,inf
5,100.0,TOTAL_MEM,SC,circuit_level,0.0130742679629539,9.94484075476588e-06
6,100.0,X_MEM,SC,circuit_level,0.0141555692212892,6.738399923342103e-06
6,100.0,Z_MEM,SC,circuit_level,0.00466,inf
6,100.0,TOTAL_MEM,SC,circuit_level,0.014155736177503,6.843732517419342e-06
2,500.0,X_MEM,SC,circuit_level,0.0073815958445517,7.729117844488686e-06
2,500.0,Z_MEM,SC,circuit_level,0.00736,inf
2,500.0,TOTAL_MEM,SC,circuit_level,0.007381544054355,7.642331761408309e-06
3,500.0,X_MEM,SC,circuit_level,0.0100730757069538,9.43585223485436e-06
3,500.0,Z_MEM,SC,circuit_level,0.00466,inf
3,500.0,TOTAL_MEM,SC,circuit_level,0.0100717050326685,1.0103749573824512e-05
